sample_id,location_id,date,local_area_name,establishment_type,users,last_emptied,shared_toilet,rent_or_own,containment,lining,lining_material,change_in_liquid_level,baffles,outflow,outflow_location,toilet_type,anal_cleansing_material,paper,water,additives,frequency,chemicals,wastewater_type,toilet,bathing,laundry,kitchen,water_connection,tap_inside_building,standpipe,containment_age,containment_constructed,containment_volume,fully_emptied,emptying_interval,rainy_season,solid_waste,type
17-DC-07062023,8b,2023-06-07T00:00:00Z,Saanich,Household,2,5,FALSE,Own,Septic tank,Fully lined (watertight),Concrete,FALSE,TRUE,TRUE,Leach field,Cistern flush,Paper,TRUE,FALSE,FALSE,NA,NA,Toilet Bathing Laundry Kitchen,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,More than 10 years old,Technician/Mason,NA,TRUE,5,FALSE,FALSE,NA
18-PI-08062023,9a,2023-06-08T00:00:00Z,Pender Island,Household,2,2,FALSE,Own,Septic tank,Fully lined (watertight),Concrete,FALSE,TRUE,TRUE,Leach field,Cistern flush,Paper,TRUE,FALSE,NA,NA,Regular household cleaners,Toilet Bathing Laundry Kitchen,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,More than 10 years old,Technician/Mason,NA,TRUE,2.5,FALSE,FALSE,NA
19-PI-08062023,9b,2023-06-08T00:00:00Z,Pender Island,Household,3,3,TRUE,Rent,Septic tank,Fully lined (watertight),Concrete,FALSE,TRUE,TRUE,Leach field,Cistern flush,Water,FALSE,TRUE,FALSE,NA,NA,Toilet Bathing Laundry Kitchen,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,More than 10 years old,Technician/Mason,2.4,TRUE,9.5,FALSE,FALSE,NA
20-PI-08062023,9c,2023-06-08T00:00:00Z,Pender Island,Household,2,3,FALSE,Own,Septic tank,Fully lined (watertight),Concrete,FALSE,TRUE,TRUE,Leach field,Cistern flush,Paper,TRUE,FALSE,FALSE,NA,NA,Toilet Bathing Laundry Kitchen,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,More than 10 years old,Technician/Mason,2.4,TRUE,5,FALSE,FALSE,NA
21-PI-21062023,10a,2023-06-21T00:00:00Z,Pender Island,Commercial,200,0.25,TRUE,NA,Septic tank,Fully lined (watertight),Concrete,FALSE,TRUE,TRUE,Leach field,Cistern flush,Paper,TRUE,FALSE,FALSE,NA,NA,Toilet Kitchen,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,More than 10 years old,Technician/Mason,5,FALSE,5.5,FALSE,FALSE,NA
22-MET-21062023,10b,2023-06-21T00:00:00Z,Metchosin,Household,3,0.25,FALSE,Own,Septic tank,Fully lined (watertight),Concrete,FALSE,TRUE,TRUE,Leach field,Cistern flush,Paper,TRUE,FALSE,FALSE,NA,NA,Toilet Laundry Kitchen,TRUE,FALSE,TRUE,TRUE,TRUE,1,0,More than 10 years old,Technician/Mason,NA,TRUE,NA,FALSE,FALSE,NA
01-K-15012024,11a,2024-01-15T00:00:00Z,Kikoni,Commercial,23,2,FALSE,NA,Septic tank,Fully lined (watertight),Concrete,FALSE,FALSE,TRUE,Soak pit,Cistern flush,Paper Water,TRUE,TRUE,FALSE,NA,Liquid soap and bleach,Toilet Bathing Laundry,TRUE,TRUE,TRUE,FALSE,TRUE,1,1,More than 10 years old,Professional engineer,NA,FALSE,NA,FALSE,TRUE,"Feminine products, condoms, plastic, etc."
02-K-16012024,12a,2024-01-16T00:00:00Z,Kikoni,Household,4,3,TRUE,Rent,Septic tank,Fully lined (watertight),Concrete,FALSE,FALSE,TRUE,Soak pit,Cistern flush,Paper Water,TRUE,TRUE,FALSE,NA,Liquid soap and bleach,Kitchen Toilet Bathing Laundry,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,More than 10 years old,Professional engineer,NA,FALSE,2,FALSE,TRUE,"Feminine products, plastic"
03-K-16012024,12b,2024-01-16T00:00:00Z,Kikoni,Household,5,3,TRUE,Rent,Septic tank,Fully lined (watertight),Concrete,FALSE,FALSE,TRUE,Soak pit,Cistern flush,Paper Water,TRUE,TRUE,FALSE,NA,Liquid soap and bleach,Toilet Laundry Kitchen,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,More than 10 years old,Professional engineer,NA,FALSE,2,FALSE,TRUE,"Feminine products, plastic"
04-K-16012024,12c,2024-01-16T00:00:00Z,Kikoni,Household,4,3,TRUE,Rent,Septic tank,Fully lined (watertight),Concrete,FALSE,FALSE,TRUE,Soak pit,Cistern flush,Paper Water,TRUE,TRUE,FALSE,NA,Liquid soap and bleach,Toilet Laundry Kitchen,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,More than 10 years old,Professional engineer,NA,FALSE,2,FALSE,TRUE,"Feminine products, plastic"
05-K-16012024,12d,2024-01-16T00:00:00Z,Kikoni,Household,15,3,TRUE,Rent,Septic tank,Fully lined (watertight),Concrete,FALSE,FALSE,TRUE,Soak pit,Cistern flush,Paper Water,TRUE,TRUE,FALSE,NA,Liquid soap and bleach,Toilet Laundry Kitchen,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,More than 10 years old,Professional engineer,NA,FALSE,2,FALSE,TRUE,"Feminine products, lots of plastic waste"
06-KS-22012024,13a,2024-01-22T00:00:00Z,Kisaasi,Household,9,1,TRUE,Rent,Septic tank,Fully lined (watertight),Concrete,TRUE,FALSE,TRUE,Soak pit,Cistern flush,Paper Water,TRUE,TRUE,FALSE,NA,Liquid soap and bleach,Toilet Bathing Kitchen,TRUE,TRUE,FALSE,TRUE,TRUE,1,1,More than 10 years old,Professional engineer,NA,TRUE,1,FALSE,FALSE,NA
07-NJ-23012024,14a,2024-01-23T00:00:00Z,Najjera,Household,15,10,TRUE,Rent,Septic tank,Fully lined (watertight),Concrete,FALSE,FALSE,TRUE,Soak pit,Cistern flush,Paper Water,TRUE,TRUE,TRUE,NA,Antibacterial aid,Toilet Bathing Kitchen,TRUE,TRUE,FALSE,TRUE,TRUE,1,1,1 - 5 years old,Technician/Mason,NA,NA,NA,FALSE,TRUE,Some plastic waste
08-KK-29012024,15a,2024-01-29T00:00:00Z,Kikomi kikomi,Household,14,10,TRUE,Rent,Septic tank,Fully lined (watertight),Concrete,FALSE,FALSE,TRUE,Soak pit,Cistern flush,Paper Water,TRUE,TRUE,FALSE,NA,NA,Toilet Bathing Laundry Kitchen,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,1 - 5 years old,Professional engineer,NA,NA,NA,FALSE,TRUE,Plastic
09-KK-29012024,15b,2024-01-29T00:00:00Z,Kikomi kikomi,Household,35,6,FALSE,NA,Septic tank,Unlined,Unlined - Dug,FALSE,FALSE,TRUE,Soak pit,Cistern flush,Paper Water,TRUE,TRUE,FALSE,NA,Liquid soap and bleach,Toilet Bathing,TRUE,TRUE,FALSE,FALSE,TRUE,1,1,More than 10 years old,NA,NA,FALSE,5,FALSE,TRUE,"Feminine products, wood"
10-KK-30012024,16a,2024-01-30T00:00:00Z,Kikomi kikomi,Household,30,2,TRUE,Rent,Septic tank,Fully lined (watertight),Concrete,FALSE,FALSE,TRUE,Soak pit,Cistern flush,Paper Water,TRUE,TRUE,FALSE,NA,Liquid soap and bleach,Kitchen Bathing Laundry,FALSE,TRUE,TRUE,TRUE,TRUE,1,1,More than 10 years old,Professional engineer,20,FALSE,2,FALSE,FALSE,NA
11-KK-30012024,16b,2024-01-30T00:00:00Z,Kikomi kikomi,Household,30,2,TRUE,Rent,Septic tank,Fully lined (watertight),Concrete,FALSE,FALSE,TRUE,Soak pit,Cistern flush,Paper Water,TRUE,TRUE,FALSE,NA,Liquid soap and bleach,Toilet,TRUE,FALSE,FALSE,FALSE,TRUE,1,1,More than 10 years old,Professional engineer,NA,FALSE,2,FALSE,TRUE,"Feminine products, diapers, etc."
12-KK-30012024,16c,2024-01-30T00:00:00Z,Kikomi kikomi,Household,88,0.25,FALSE,NA,Septic tank,Fully lined (watertight),Concrete,FALSE,FALSE,FALSE,NA,Cistern flush,Paper Water,TRUE,TRUE,FALSE,NA,Liquid soap and bleach,Toilet Bathing Kitchen,TRUE,TRUE,FALSE,TRUE,TRUE,1,1,More than 10 years old,Technician/Mason,NA,FALSE,0.33,FALSE,TRUE,"Condoms, plastic wrappers, etc"
13-KK-05022024,17a,2024-02-05T00:00:00Z,Kikomi kikomi,Household,35,3,TRUE,Rent,Septic tank,Fully lined (watertight),Concrete,FALSE,FALSE,TRUE,Soak pit,Pour-flush,Paper Water,TRUE,TRUE,FALSE,NA,Liquid soap and bleach,Toilet,TRUE,FALSE,FALSE,FALSE,TRUE,0,1,6 - 10 years old,Technician/Mason,NA,FALSE,6,FALSE,TRUE,Feminine products
14-KW-06022024,18a,2024-02-06T00:00:00Z,Kalwere,Household,43,3,TRUE,Rent,Septic tank,Fully lined (watertight),Concrete,TRUE,FALSE,TRUE,Soak pit,Cistern flush,Paper Water,TRUE,TRUE,TRUE,NA,Liquid soap and bleach,Toilet Bathing Laundry Kitchen,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,More than 10 years old,Technician/Mason,NA,TRUE,5,FALSE,FALSE,NA
15-KW-06022024,18b,2024-02-06T00:00:00Z,Kalwere,Household,29,2,TRUE,Rent,Septic tank,Fully lined (watertight),Concrete,FALSE,FALSE,TRUE,Soak pit,Pour-flush,Paper Water,TRUE,TRUE,FALSE,NA,Liquid soap and bleach,Toilet Bathing,TRUE,TRUE,FALSE,FALSE,TRUE,0,1,More than 10 years old,Technician/Mason,NA,FALSE,NA,FALSE,TRUE,Some plastic
16-KW-12022024,19a,2024-02-12T00:00:00Z,Kalwere,Commercial,10,0.6666666666666666,FALSE,NA,Septic tank,Fully lined (watertight),Concrete,TRUE,FALSE,TRUE,Soak pit,Cistern flush,Paper Water,TRUE,TRUE,FALSE,NA,Liquid soap and bleach,Toilet Bathing,TRUE,TRUE,FALSE,FALSE,TRUE,1,1,More than 10 years old,Technician/Mason,NA,TRUE,1,FALSE,TRUE,Condoms
17-KK-12022024,19b,2024-02-12T00:00:00Z,Kikomi kikomi,Household,16,1,TRUE,Rent,Septic tank,Fully lined (watertight),Concrete,FALSE,FALSE,FALSE,NA,Pour-flush Cistern flush,Paper Water,TRUE,TRUE,TRUE,NA,Liquid soap and bleach,Toilet,TRUE,FALSE,FALSE,FALSE,TRUE,1,1,More than 10 years old,Technician/Mason,NA,TRUE,1,FALSE,TRUE,Feminine products
18-KK-13022024,20a,2024-02-13T00:00:00Z,Kikomi kikomi,Household,52,0.5,FALSE,NA,Septic tank,Fully lined (watertight),Concrete,FALSE,FALSE,TRUE,Soak pit,Pour-flush,Paper Water,TRUE,TRUE,TRUE,NA,Liquid soap and bleach,Toilet,TRUE,FALSE,FALSE,FALSE,TRUE,0,1,More than 10 years old,Technician/Mason,NA,TRUE,0.5,FALSE,TRUE,"Feminine products, condoms, plastic"
19-KK-13022024,20b,2024-02-13T00:00:00Z,Kikoni,Household,14,0.25,TRUE,Rent,Septic tank,Fully lined (watertight),Concrete,FALSE,FALSE,TRUE,Soak pit,Pour-flush,Paper Water,TRUE,TRUE,FALSE,NA,NA,Toilet Bathing,TRUE,TRUE,FALSE,FALSE,TRUE,0,1,More than 10 years old,Technician/Mason,NA,FALSE,0.33,FALSE,TRUE,Plastic and feminine products
